# actual tre, actual fre, expected tre, expected fre, mean fle, number of fids
2.414462007178197,1.2525249275634138,1.603021145231514,1.5718409502948123,2.722508387327961,3
0.8893358745946955,1.8675452702643478,1.3695264933238416,1.925104142516853,2.722508387327961,4
1.3019275168651476,1.8337965923871777,1.2305289642087767,2.108845928806241,2.722508387327961,5
1.2426343859002418,1.708305910645254,1.1156691538362675,2.2229187898003375,2.722508387327961,6
0.9534228737555526,2.1206416898512366,1.0545882259765362,2.3009395470842984,2.722508387327961,7
0.642434297659997,2.339767504546903,0.9767343394949788,2.3577614254422183,2.722508387327961,8
0.3776144264798447,2.321304888745627,0.907942971898855,2.401026711719099,2.722508387327961,9
5.20071380283802,6.864674206137607,4.72129364116983,4.572625883946142,7.920020354999266,3
3.247486584295342,7.182337950770602,4.023126134101992,5.600300100155469,7.920020354999266,4
2.5373089978029175,8.183702000750204,3.7898341900273675,6.1348213873071815,7.920020354999266,5
2.35419257652772,8.183158853325716,3.2827948959643343,6.4666695407348955,7.920020354999266,6
2.731244409130794,7.766796435406021,2.9943696907986355,6.6936389005640855,7.920020354999266,7
2.3366271800929757,7.432947219621387,2.8068486985095595,6.858938825919212,7.920020354999266,8
247.4217622918222,3.2602366213097818,8.324393876372172,3.491140569716336,6.04683284311365,3
4.758569163173414,3.4022339428417623,8.363205530059039,4.275756508067193,6.04683284311365,4
3.057489459521485,5.213737850012336,3.203870276966138,4.683856579735843,6.04683284311365,5
2.4292034627434873,5.253394410613197,2.797834701418429,4.937218341843776,6.04683284311365,6
1.370754127201039,5.182265955213046,2.3776074415540824,5.110506504989634,6.04683284311365,7
1.8020224602087143,1.9039974270439193,16.29715196636041,2.3522548495774838,4.074224911818488,3
2.6022809814520294,2.043295231856658,2.2893350507237815,2.880912063226017,4.074224911818488,4
1.6138585482185075,2.3442402723893263,1.9289613423886407,3.1558810464352773,4.074224911818488,5
1.5420444628168533,2.242047777510416,1.6770319846700779,3.326590710430362,4.074224911818488,6
1.3717061358657596,2.470719950040843,1.5805313812398405,3.4433485189443105,4.074224911818488,7
1.2704942210366241,2.414828233678531,1.53305416048747,3.5283822743662254,4.074224911818488,8
1.1515162542016364,2.517441006831213,1.3882553690800794,3.5931286340052604,4.074224911818488,9
4.536523787918016,2.3219639773177385,3.776554704084892,2.1861216867576863,3.7864738329924865,3
1.1702148305055209,2.3456523299214136,4.029505647882233,2.677441324094406,3.7864738329924865,4
1.1637943454701818,2.1749120018994557,1.6955443836038617,2.932990019206013,3.7864738329924865,5
0.9887632358832732,2.1328038104517417,1.5530835059323937,3.091642938410667,3.7864738329924865,6
0.4764035261766092,2.3821797470705923,1.516833333590614,3.200154470371795,3.7864738329924865,7
3.4358292220241355,3.935750411764505,5.195449963582909,4.926416447532218,8.532803586368777,3
1.3895815390918682,5.891177940805182,4.274365954103679,6.033603278454255,8.532803586368777,4
2.434213369444622,5.99788496011185,4.227235024900806,6.609481237293038,8.532803586368777,5
3.3514034588127983,6.117137736588673,4.329181828931274,6.967004953997946,8.532803586368777,6
2.9845243686523024,6.252458077600373,4.3933258564897315,7.211535255782318,8.532803586368777,7
3.108978176627503,3.764776997720597,3.705363376777108,3.00718278016744,5.208593362896235,3
1.6012658343226007,5.405119221745968,3.036243702744513,3.6830316873471722,5.208593362896235,4
1.7262189679634266,4.8836947903603365,2.620176291570481,4.034559070332721,5.208593362896235,5
1.9030022158022508,4.893875450424834,2.595819529807622,4.252798672247623,5.208593362896235,6
1.6030654969195521,4.823816482477849,2.4331267381188226,4.402064841802466,5.208593362896235,7
1.416226348255727,4.596792125986788,2.3479646078561256,4.5107741702511595,5.208593362896235,8
0.760144916912919,4.55055916766698,2.0033283154055272,4.593547572895013,5.208593362896235,9
0.6634308845308419,4.611179951130436,1.9837949344824328,4.658707530636085,5.208593362896235,10
2.410540725932801,2.1420777423681994,3.4486078929188464,3.044977649741136,5.274055997263316,3
4.2668582831865995,2.923315402890452,2.8339523001328324,3.7293207600224703,5.274055997263316,4
3.4256569908859413,3.6321974026094486,2.594314895292106,4.085266208873235,5.274055997263316,5
3.6559655233268558,3.8952711197999923,2.5627060673412805,4.306248689386866,5.274055997263316,6
3.7705540933239456,4.034489423705301,2.565803486770364,4.457390865763541,5.274055997263316,7
3.903445035306254,4.005860637943746,2.5489508548726927,4.567466474611703,5.274055997263316,8
3.2648972703050916,4.832490209740832,2.4862340891637387,4.651280189795829,5.274055997263316,9
6.2234775789561585,7.136366975982914,5.764196443545618,4.63256169142907,8.023832218752364,3
5.174090752591662,7.281732653720331,5.323339106419002,5.673706172982898,8.023832218752364,4
4.752507768711896,7.655167805393551,5.201667928527384,6.215233711198083,8.023832218752364,5
4.482804325327791,7.2135610159819255,5.084663366009105,6.551431572549036,8.023832218752364,6
4.066973088049837,6.975837456234245,5.008292106125253,6.781375938906314,8.023832218752364,7
3.7779198386852437,7.346129338572407,4.878401239517423,6.948842537143605,8.023832218752364,8
2.876981423645737,7.238964399862229,4.751561523595598,7.076354870842124,8.023832218752364,9
0.6822526169347891,0.9446898436667033,1.0874520607523135,1.0859452990587941,1.88091243221041,3
0.6944802914386898,0.8785780032343837,0.9638213666475897,1.3300059356340632,1.88091243221041,4
0.799833644424771,0.892735318130057,0.8798764591811798,1.4569485051250808,1.88091243221041,5
